id,apertura_ts,fecha,monto_apertura,efectivo_contado,efectivo_esperado,diferencia,notas,abierto_por,cerrado_por
2,2026-01-10 17:49:53,2026-01-10,20000.0,0,0,0,,admin,
1,2026-01-10 12:39:03,2026-01-10,20000.0,23390.0,23390.0,0,,admin,admin
